stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
21767,21767,ILLINOIS @ MARYLAND - W - NS,,32.72034,-96.813111,,,0
21768,21768,ILLINOIS @ BRITTON - E - NS,,32.720263,-96.807263,,,1
21769,21769,CEDAR CREST @ BONNIE VIEW - S - FS,,32.732246,-96.793969,,,0
21770,21770,MLK @ MALCOLM X - S - FS,,32.768825,-96.768845,,,1
21771,21771,PARKER @ N - E - MB,,33.037693,-96.697166,,,0
21772,21772,JUPITER @ 14TH - S - FS,,33.017269,-96.682572,,,1
21773,21773,JUPITER @ LINDA - S - NS,,32.966514,-96.682779,,,0
21774,21774,JUPITER @ ARAPAHO - S - MB,,32.961659,-96.682775,,,0
21776,21776,JUPITER @ APOLLO - S - NS,,32.953246,-96.682846,,,1
21777,21777,JUPITER @ LATHAM - N - NS,,32.950767,-96.682625,,,0
21778,21778,JUPITER @ POST OAK - S - NS,,32.949273,-96.682893,,,0
21779,21779,JUPITER @ PONDEROSA - S - FS,,32.947578,-96.682869,,,0
21780,21780,JUPITER @ PONDEROSA - N - NS,,32.947115,-96.682681,,,0
21781,21781,JUPITER @ OHENRY - S - FS,,32.925694,-96.683185,,,0
21782,21782,JUPITER @ NORMA - S - NS,,32.912557,-96.683141,,,0
21783,21783,JUPITER @ NORMA - N - NS,,32.9121,-96.682755,,,0
21785,21785,JUPITER @ CAVALIER - N - NS,,32.900136,-96.682779,,,0
21786,21786,JUPITER @ DIVIDEND - S - MB,,32.89925,-96.683075,,,0
21788,21788,KINGSLEY @ NATIONAL - E - FS,,32.878761,-96.671697,,,0
21789,21789,KINGSLEY @ SHILOH - W - FS,,32.878963,-96.666535,,,0
21790,21790,KINGSLEY @ BROWNE - E - FS,,32.878762,-96.663516,,,0
21791,21791,DUCK CREEK @ ROBIN - E - MB,,32.844577,-96.59961,,,1
21792,21792,DUCK CREEK @ GREENBELT - W - MB,,32.844795,-96.599457,,,1
21799,21799,NORTHWEST @ SATURN - N - MB2,,32.864116,-96.646103,,,1
21800,21800,NORTHWEST @ CENTERVILLE - S - MB1,,32.863786,-96.645908,,,1
21801,21801,NORTHWEST @ CENTERVILLE - S - MB2,,32.862933,-96.644727,,,1
21802,21802,DUCK CREEK @ OATES - N - NS,,32.851074,-96.609742,,,0
21803,21803,DUCK CREEK @ CREEKVIEW - N - MB,,32.848259,-96.604625,,,1
21804,21804,DUCK CREEK @ CANYON - S - MB,,32.848195,-96.605193,,,0
21805,21805,BROADWAY @ COMANCHE - N - NS,,32.867448,-96.608203,,,0
21806,21806,BROADWAY @ KINGSLEY - S - NS,,32.876111,-96.618527,,,1
21807,21807,DAIRY @ BEVERLY - S - NS,,32.898401,-96.622285,,,0
21810,21810,MARS @ TWILIGHT - S - NS,,32.930523,-96.620156,,,0
21811,21811,WALNUT @ MARS - E - MB,,32.914418,-96.622915,,,0
21812,21812,GARLAND @ CASA LINDA - N - MB,,32.834264,-96.701427,,,1
21822,21822,BELT LINE @ FINLEY - S - MB2,,32.853507,-96.992279,,,1
21823,21823,BELT LINE @ NORTHGATE - N - MB1,,32.853588,-96.991958,,,1
21826,21826,IRVING @ NURSERY - W - MB,,32.810833,-96.932686,,,0
21827,21827,IRVING @ BALLEYWOOD - E - NS,,32.809305,-96.930113,,,1
21828,21828,IRVING @ NORWOOD - E - NS,,32.808061,-96.889975,,,0
21829,21829,IRVING @ DON - W - MB,,32.808078,-96.875466,,,0
21830,21830,MOCKINGBIRD @ AMBASSADOR - N - NS,,32.815187,-96.873103,,,0
21831,21831,MOCKINGBIRD @ IH 35 - S - FS,,32.818937,-96.869262,,,1
21832,21832,MOCKINGBIRD @ IH 35 - N - FS,,32.819479,-96.86823,,,1
21833,21833,MOCKINGBIRD @ IH 35 - S - MB,,32.819914,-96.868032,,,1
21835,21835,MOCKINGBIRD @ ELMBROOK - W - MB1,,32.822348,-96.860906,,,0
